% 1. Title: Question answer dataset
% 
% 2. Sources:
%      (a) Creator: Pooja lodhi
% 3. Attribute Information:
%	1. sentence 
%	2.type of question: (1)what , (2)what-happen , (3)where , (4)when

@RELATION question-tag

@ATTRIBUTE sentence	string
@ATTRIBUTE questiontag	{what, what-happen, where, when}

@DATA
'annaporna is located in jiit',where
'The tadpoles live underwater until they grow lungs.',where
'In New York, it is illegal to sell a haunted house without telling the buyer.',where
'In Japan, crooked teeth are considered cute and attractive.',where
'volta published his invention of the Voltaic pile battery in the Philosophical Transactions of the Royal Society',where
'bees lives in colonies',where
'Charles-Augustin de Coulomb was permanently stationed in Paris in 1781.',where
'Michael Faraday served two terms in the Church of Scotland',where
'A copy of the Australia Council bylaws is available here.',where
'OFSIS2017 Conference will be held at The University of Queensland (UQ) within the stunning new Advanced Engineering Building.',where
'The Australia & New Zealand Student Congress, a biannual event held alternately in Australia and New Zealand, is funded and co-sponsored by the Council.',where
'the Park of the Reserve is located near the downtown area',where
'Wilson attended law school at University of Virginia',where
'You may purchase the policy from the insurance registration portal to enroll.',where
'Fillmore was born in a log cabin in summerhill , new york',where
'Commodore Matthew C. Perry send to Japan',where
'MyMedicare.gov is accessible from a variety of operating systems and web browsers.',where
'Comments on Telegrams security outside the scope of the contest are welcome at security@telegram.org.',where
'You can check out the Cracking Contest Description to learn more.',where
'If you have any other questions, please contact Telegram Support',where
'For questions about the online Girl Scout Shop not answered here, see the Help/FAQs pages on the Shop.',where
'The Aquarius Reef Base is an underwater habitat located 9 kilometers off Key Largo in the Florida Keys National Marine Sanctuary.',where
'The baker contact information is listed on each package.',where
'To find out which local council serves your area, use the Find Cookies! search box.',where
'You can find recipes on our Cookie Recipes page or on the websites of our two licensed bakers',where
'For a list of specific cookie ingredients, please see Meet the Cookies.',where
'You can also call our Information and Referral Center at (800) GSUSA 4U [(800) 478-7248] or (212) 852-8000 for general questions about Girl Scouts of the USA.',where
'Charlie meet Sam and Patrick at a football game',where
'The National Science Centre established in 1992, is a science museum in Delhi, India.',where
'Pragati Maidan is situated in Central Delhi in the pincode area of 110001.',where
'It was inaugurated on the 9 January 1992 by the then Prime Minister of India, P.V.Narasimha Rao',where
'It is located between Okhla and Sarita Vihar stations on the Violet Line.',where
'Provision items of daily use including bread, butter, biscuits etc. are available on payment at the Tuck shop which is open as per times specified.',where
'To complete a paper MPN, contact the school financial aid office.',where
'If you have questions about income-driven repayment plans, information is available at StudentAid.gov.',where
'You may register for an ORCID identifier at http://orcid.org.',where
'For more information on membership, benefits, and fees, please see our Membership Page',where
'For more information, please see our Privacy Policy.',where
'Butterflies are distributed worldwide except Antarctica, totalling some 18,500 species.',where
'The ORCID Registry is hosted on Rackspace.',where
'To learn more about technical developments and resources, please see our Knowledge Base.',where
'The re-evaluation of answer-scripts is available at the Senior Secondary level in theory papers only.',where
'The proforma for re-evaluation is available at website.',where
'ICICCT 2017 AT INDIA INTERNATIONAL CENTRE (IIC) 40, MAX MUELLER MARG, NEW DELHI - 110003, INDIA.',where
'To register, visit www.icsa2017/registrationforjiit.html',where
'For further details and related themes, visit the official website www.icsa2017.com',where
'For questions on the Application Form and Selection process, please see Admission and Application FAQs below.',where
'For more information on the OCI card, please go to the Ministry of Home Affairs.',where
'After that he was at Tokyo University of Agriculture and Technology, Japan for over eight years.',where
'He spent about twelve years teaching at various universities in the US, most of which was at Boston University.',where
'The International Conference on Information, Communication and Computing Technology (ICICCT-2017) will be held at India International Centre (IIC), 40, Max Mueller Marg, New Delhi - 110003, India',where
'To apply for the OCI card, please go to the Online OCI Registration Form.',where
'Frequently Asked Questions have been hosted on website for candidates and Institutions.',where
'Phone service is currently only available for Private Offices.',where
'Children have been killed in the same way near the city of Goma by CO2 emissions from the nearby volcano Mt. Nyiragongo.',where
'For offline registrations please register at: http://www.pmi.org.in/apps/offline and enter your nominations.',where
'To register guests, please log on to the Member Network or the WeWork app.',where
'Calcium is produced in supernova nucleosynthesis.',where
'The Red fort appears on the front of the ₹500 note of the Mahatma Gandhi New Series of the Indian rupee.',where
'Chawari Bazar is located in front of Red Fort.',where
'Houston located in Southeast Texas near the Gulf of Mexico',where
'The oldest reference to the place is found inscribed on a Rashtrakuta Dynasty copper plate dated AD 937',where
'Pune is situated 560 metres (1,837 feet) above sea level on the Deccan plateau on the right bank of the Mutha river',where
'Half of the total international students in the country studying in Pune',where
'The Channel Islands are located off the Southern coast.',where
'A majority of California cities are located in either the San Francisco Bay Area',where
'to the northeast of the Mojave lies Death Valley, which contains the lowest and hottest place in North America',where
'The name comes from the first four letters of Australia (AUST) and the initials of the United States (US).',where
'Bossaball is a team sport that originated in Spain',where
'This report will be posted on the website.',where
'The Peshwas were defeated at the Battle of Khadki',where
'2nd International Conference on Intelligent Computing and Communication which is to be held at MAEER MIT College of Engineering, Pune, India',where
'The Second International Conference on Intelligent Computing & Communication-2017 (ICICC-2017) will be held in MIT College of Engineering, Pune.',where
'The Second Springer International Conference on Intelligent Computing and Communication was successfully launched at MIT College of Engineering, Pune',where
'Shinde Chhatri , located in Wanawadi, a well known place in Pune, India',where
'Found in the Pacific Ocean, the Mariana Trench is the deepest known point in the world oceans.',where
'The Raja Dinkar Kelkar Museum is in Pune, Maharashtra, India.',where
'The Admission Form is available : Online at www.amity.edu',where
'To the east of the Sierra Nevada are Owens Valley and Mono Lake, an essential migratory bird habitat.',where
'In the south is a large inland salt lake, the Salton Sea.',where
'Qualifying candidates will be informed about the date, time and venue of Admission Procedure on the Admission Microsite',where
'The main international airport serving Kathmandu and thus Nepal is the Tribhuvan International Airport, located about six kilometers (6 km (3.7 mi)) from the city centre.',where
'More than half of illegal immigrants originate from Mexico.',where
'In 1988 Obama enrolled in Harvard Law School',where
'It lies within area code 650.',where
'Wakulla Springs, located 14 miles south of Tallahassee, Florida',where
'Vazhappully Shree Rajarajeshwari temple is a Hindu temple located at Kazhimbram near Valapad in Thrissur District.',where
'If you have any questions or require additional information please contact Vern Gaw, Worcester County Section PACE Co-Chair, vgaw@ieee.org',where
'The dinner meeting will be held at Higgins House on the WPI campus in Worcester.',where
'Directions can be found at http://www.wpi.edu/About/Visitors/index.html.',where
'It is bordered by Haryana on three sides and by Uttar Pradesh to the east.',where
'Login credentials for SAP applications inside training systems can be found in the course-specific setup guide by selecting the Course ID link on the My Systems page.',where
'The 2015 IEEE Worcester County Section Awards Banquet will be held at Tweeds Pub at 231 Grove Street, Worcester',where
'Please register with the IEEE Vtools system at https://meetings.vtools.ieee.org/m/33859.',where
'A map to the location is on the Vtools registration page.',where
'An elevator is located to the left of the main entrance',where
'located on the state eastern side.',where
'Rajasthan is India second largest producer of milk.',where
'Pasta is more consumed in central and south part of the country',where
'Monte Bianco (White Mountain) at 4,810m is the highest peak in Europe',where
'It is located on the western side of the country, where it comprises most of the wide and inhospitable Thar Desert',where
'Beiruti Grand Café is a bright, clean and accessible restaurant located on a quiet street near Victoria Park and Sheppard Avenue.',where
'The Special Projects Gallery is located in the main lobby of the Joan & Martin Goldfarb Centre for Fine Arts at York University.',where
'Inauguration of Student Branch at Late G. N. Sapkal College of Engineering',where
'1st Symposium in this series was organised at UMIT, Mumbai and more information is available at ibss2015.ieeebombay.org',where
'He did his Schooling from Harcourt Butler Sr. Secondary School, New Delhi, B. Com (P) from University of Delhi and then LL.B.',where
'One quarter of the bones in your body are in your feet.',where
'Delhi is located at 28.61°N 77.23°E, and lies in Northern India.',where
'Turban training centers have opened mostly in main cities of Punjab',where
'Over 90% of the world supply of fresh water is located in Antarctica',where
'He received PhD degree in Computer Science from the Institute of Cybernetics, Estonia.',where
'She has a MS and PhD in Modeling & Simulation from the University of Central Florida, and a BA in Psychology from Susquehanna University.',where
'It is present in deposits of petroleum and natural gas.',where
'it occurs naturally in groundwater, rivers and lakes, in ice caps and glaciers and also in seawater.',where
'Dow died in Portland in 1897 at the age of 93.',where
'The other batsman, known as the non-striker, waits at the opposite end of the pitch near the bowler.',where
'The striker "takes guard" on a crease drawn on the pitch four feet in front of the wicket.',where
'The sport is followed primarily in Australasia, Britain, the Indian subcontinent, southern Africa and the West Indies.',where
'The cricket field has with a rectangular pitch at the centre.',where
'There is always an umpire at each end of the pitch.',where
'Some other countries where Bossaball has been introduced include: Brazil, Argentina and Mexico',where
'The European, or metropolitan, area of France extends from the Mediterranean Sea to the English Channel',where
'Rugby league in France is mostly played and followed in the South of France, in cities such as Perpignan and Toulouse.',where
'Rugby union is popular, particularly in Paris and the southwest of France.'where
'The sun and the moon are painted on the east and the west of the Otorii roof.',where
'Miyajima is an island that is located on the Seto Inland Sea.',where
'It is about 20 km from central Hiroshima.',where
'Toads are found on all continents except Antarctica and are also not present on isolated islands like New Zealand, New Guinea, and Madagascar.',where
'The common toad is a large-sized species of toad that is found throughout Europe, extending from Siberia into North Africa.',where
'Wild zebras live in Africa.',where
'he vermillion lacquered shrine, located at the beautiful Itsukushima',where
'PMB reserach is group present at the Biotechnology department, JIIT, NOIDA',where
'he term is derived from Latin',where
'A live version of the song recorded at 2004 Coachella',where
'Chinese martial arts originated during the Xia Dynasty more than 4000 years ago.',where
'The Department of Biotechnology at JIIT, NOIDA',where
'There are also stone lanterns standing on the shore of this shrine.',where
'It is a Sotoshu sect temple located at the foot of Yogaizan',where
'Super Mario Run is now available on Android',where
'In France, it is legal to marry a dead person.',where
'Microsoft Makes VR Drone Fight Simulator Available on GitHub',where
'The smallest bone found in the human body is located in the middle ear.',where
'The Hoover Dam, built along the Colorado River',where
'The nucleus is positively charged and found at the central core of an atom.',where
'Winston Churchill was born in a ladies room during a dance.',where
'More than 10 UNESCO World Heritage Sites are located in Turkey.',where
'The oldest known ceramics originate from Jordan valley and Catal Huyuk in Anatolia, Turkey.',where
'It is illegal to climb trees in Oshawa, a town in Ontario, Canada.',where
'Apples are thought to have originated in central Asia.',where
'The KGB is headquartered at No. 2 Felix Dzerzhinsky Square, Moscow',where
'In York, it is perfectly legal to shoot a Scotsman with a bow and arrow',where
'In France, a five year old child can buy an alcoholic drink in a bar',where
'In England, the Speaker of the House is not allowed to speak.',where
'In Utah, it is illegal to swear in front of a dead person.',where
'In New York State, it is illegal to but any alcohol on Sundays before noon.',where
'It is illegal to spit on the sidewalk in Norfolk, Virginia.',where
'chaar bagh is located in delhi',where
'It is illegal to eat oranges while bathing in California.',where
'Rape is reported every six minutes in the U.S.',where
'In 1682, Peter the Great became tsar',when
'In 1917, Russians, unhappy with their government, overthrew the tsar and formed a new elected government.',when
'In the 1550s, Muscovite ruler Ivan IV became Russia first tsar',when
'There is a town in Newfoundland, Canada called Dildo.',where
'Lawn darts are illegal in Canada.',where
'Latin was originally spoken in Latium, in the Italian Peninsula.',where
'it became the dominant language, initially in Italy and subsequently throughout the Roman Empire.',where
'Latin still was the most important language of culture in Europe.',where
'There are over 300 languages spoken in England.',where
'In the eastern part of the city, crystalline metamorphic rocks such as gneiss, schist and granites are found',where
'shimla is in shirinagar',where
%---where : 
%---------------------------------------------------------
'Each phase of play is called an innings.',what
'Actually the strongest muscle is the lining uterus.',what
'The most common name in world is Mohammed.',what
'Love is a variety of different feelings, states, and attitudes that ranges from interpersonal affection to pleasure',what
'It can refer to an emotion of a strong attraction and personal attachment.',what
'There are 1,792 steps in the Eiffel Tower',what
'Lightning is a discharge of electricity in the atmosphere.',what
'judges mark down scores, as in boxing.',what
'Ecology is the study of ecosystems and how organisms interact with their environment.',what
'The common cold is a type of virus.',what
'Animals that eat plants as their primary food source are known as herbivores.',what
'Fire is a chemical reaction that releases light and heat.',what
'Nuclear power uses fission to create heat and electricity.',what
'Volata ("flow") is a code of football developed and promoted by Italian fascists',what
'Hydrogen is a chemical element with chemical symbol H and atomic number 1.',what
'The Romans produced gladiatorial combat as a public spectacle.',what
'The cricket field is usually circular or oval in shape',what
'Posters should be printed on A0 (841mm x 1189mm or 33.1″ x 46.8″) size good quality paper, in Portrait Mode.',what
'The culture of California is a Western culture and most clearly has its modern roots in the culture of the United States',what
'Delhi officially the National Capital Territory of Delhi or NCT, is a city and a union territory of India.',what
'The frozen solid form of CO2, known as "dry ice" is used as a refrigerant and as an abrasive in dry-ice blasting.',what
'Stanford has a no-loan policy.',what
'Hydrogen safety covers the safe production, handling and use of hydrogen',what
'The annual Symposia series are referred to as the IEEE Bombay Section Symposia (IBSS).',what
'aalborg_airport is an airport',what
'An Affinity Group is the non-technical subunit of one or more IEEE Sections.',what
'Family is a number one priority in Turkey.',what
'A Chapter is the technical subunit of one or more IEEE Sections.',what
'Chapters provide Society members with valuable opportunities to network at a local level - enabling both personal and professional growth.',what
'IEEE Region 1 is home to organizational units in the Northeastern U.S.',what
'Cost is $10.00 for students and $15.00 for members and guests.',what
'The choice of entree is Chicken cordon Bleu, Salmon, or vegetarian.',what
'About 45 percent of the state total surface area is covered by forests',what
'The south-central desert is called the Mojave',what
'About 37,000 earthquakes are recorded each year, but most are too small to be felt.',what
'California is one of the richest and most diverse parts of the world, and includes some of the most endangered ecological communities.',what
'Foreign citizens who are not of Indian origin are not eligible to apply',what
'The Lahori Gate is the main gate to the Red Fort, named for its orientation towards the city of Lahore.',what
'To prevent terrorist attacks, security is especially strict around the Red Fort on the eve of Indian Independence Day.',what
'There is an additional fee of $50 per month in all U.S. markets',what
'Both 1st and 2nd year students are eligible to apply.',what
'Pune is cultural capital of Maharashtra', what
'Pune is known as "Oxford of the East"', what
'Pune is known for its manufacturing and automobile industries, as well as for research institutes of information technology (IT), education, management and training',what
'The Fellowship Program gives you an opportunity to become a part of the solution and a change agent in the society.',what
'PayPal Credit is a line of credit offered by Comenity Capital Bank that gives you the flexibility to pay for your purchase now, or pay over time.',what
'Mukta Vidya Vani is a web based interactive online Personal Contact Programme.',what
'On Pixabay you may find and share images free of copyrights.',what
'Admission once registered is valid up to next 5 years.',what
'There are various formats ranging from Twenty20 to Test cricket.',what
'Animals are multicellular, eukaryotic organisms of the kingdom Animalia',what
'The minimum age to take admission in the Senior Secondary Course is 15 years, as on 31st July of the year of admission.',what
'QALD is a series of evaluation campaigns on question answering over linked data.',what
'The user interface is built around the device multi-touch screen, including a virtual keyboard.',what
'Windows Mobile is a family of mobile operating systems developed by Microsoft for smartphones and Pocket PCs.',what
'Polite and courteous behaviour inside the LRC is expected from all the users and silence must be observed inside the reading rooms.',what
'Pragati Maidan is a venue for large exhibitions and conventions in New Delhi.',what
'It is having an area of nearly 150 acres more than 6,25,000 Sq.',what
'Passport Seva Kendras are extended arms of Passport Offices and render front-end services related to passport issuance',what
'Passport Offices (PO) are vested with the authority to issue passports, besides revocation and impounding and exercise control over the PSK(s) under them',what
'KNUTH is a Programming Hub',what
'Carbon dioxide (chemical formula CO2) is a colorless and odorless gas that is vital to life on Earth.',what
'Carbon dioxide is colorless.',what
'In its solid state, carbon dioxide is commonly called dry ice.',what
'A hurricane is an intense tropical storm with powerful winds and heavy rain.',what
'Bossaball is a ball game between two teams, combining elements of volleyball, football and gymnastics with music into a sport.',what
'Wikipedia is a free, open content online encyclopaedia created through the collaborative effort of a community of users known as Wikipedians',what
'NWWSN is National Workshop on Wireless Sensor Networks and applications',what
'Huginn and Muninn are the names of Odin ravens',what
'A pregnant goldfish is called a twit.',what
'The Great Wall of China is the only man-made structure visible from space',what
'the Yuan is currency of china',what
'650-723-2300 is the telephone number of Stanford university',what
'A sounding rocket is a rocket, which is intended for assessing the physical parameters of the upper atmosphere.',what
'Colonies that lack queens are called gamergate colonies.',what
'The Ugly Duckling is the best known story about a swan',what
'Some VoIP applications use a method called STUN to keep a line of connection open.',what
'An adult female swan is called a pen',what
'Plagiarism is a serious breach of professional conduct, with potentially severe ethical and legal consequences.',what
'Fair Use refers to a set of ideas or concepts intended to limit (under specific circumstances) the near-exclusive rights of the copyright owner.',what
'The B trumpet is the most common type of trumpet',what
'violins is made of different types of wood',what
'the usual pitch range of a violin is from G3 to C8',what
'baladiyah is the Arabic word for municipalities',what
'Moldoveanu Peak is the highest mountain in Romania',what
'4.6 years average life expectancy of a kangaroo',what
'The mentioned percentages are only the eligibility to apply for scholarship.',what
'10% Fee concession is offered to Amity students, who continue their higher education at amity Universities without any year gap.',what
'roo bars is used to protect a vehicale from a Kangaroo',what
'a pumapard is a hybrid animal resulting from a union between a leopard and a puma',what
'Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.',what
'minimum attendance should be 60 percent',what 
'minimum cgpa to pass is 4',what
'10RS per day is LRC fine',what
'fileserver is on college network',what
'T1 is a exam',what
'learning resource center is also called as LRC',what
'T&P is training and placement cell',what
'Blackboard translates the help for some products into other languages.',what
'JIIT Noida stands 1st in NCR',what
'JIIT Noida stands 3rd in the Northern Region among all private institutions',what
'Barbie full name is Barbara Millicent Roberts.',what
'Magnets are objects that produce an area of magnetic force called a magnetic field.',what
'Metals such as iron, nickel and cobalt are attracted to magnets.',what
'The fastest recorded tennis serves are over 155 mph',what
'Common sports injuries include muscle cramps, muscle pulls, back strains, shin splints, tennis elbow (tendonitis), sprained ankles and plantar fasciitis (foot pain).',what
'High CGPA is the only criteria which can give u a chance to sit in companies',what
'mobile is a device',what
'Dual degree student can issue 4 books',what
'G1 is a classroom',what
'MML is multimedia lab',what
'Water is made up of two elements, hydrogen and oxygen.',what
'Recycling is the process of turning used waste and materials into new products.',what
'the atmosphere of Venus made up mainly of carbon dioxide.',what
'This prevents potentially useful materials from being wasted as well as reducing energy use and pollution.',what
'Powerful magnets are used to sort through different types of metals.',what
'Stewardesses is the longest word typed with only the left hand.',what
'A rhinoceros horn is made of compacted hair.',what
'A dragonfly has a lifespan of 24 hours.',what
'Tree resin which has been fossilized is known as amber',what
'Its chemical formula is H2O.',what
'Water from a sea or ocean is known as seawater.',what
'Combination of scholarship is not permitted.',what
'Toucans are renown for their large colorful bills.',what
'Magma is the hot liquid rock under the surface of the Earth, it is known as lava after it comes out of a volcano.',what
'Hawaii is moving towards Japan at the speed of 10cm a year.',what
'A student can avail only one type of scholarship.'what
'Students are prohibited from giving shelters to any other student / outsider in their rooms.',what
'Hostellers are not allowed to park their cars inside the Campus.',what
'students failing in the subject will be awarded F grade',what
'RIBOSE is Technical Hub of Biotechnology Department',what
'The average life span for a dog is around 10 to 14 years.',what
'A group of cats is called a clowder',what
'An abnormal fear of spiders is called arachnophobia.',what
'You are expected to report to work regularly and on time',what 
'The unauthorized downloading or transferring of copyrighted materials, including movies, video games, software, and music, is not permitted',what
'The Firm encourages a five-day work week for its professional employers with week-ends off',what
'The normal working hours from Monday to Friday are 09:30 a.m. to 05:30 p.m.',what
'Paid-leave is leave that is earned by you',what
'Caching food is burying it for later consumption',what
'The suspended cymbal is the second main orchestral use of symbals.',what
'humans use bees for honey',what
'the Grotto is the Marian place of prayer and reflection',what
'TRYST, IIT Delhi is North India largest science, technological and management festival.',what
'Amity University has been ranked the no. 1 not-for-profit pvt. University',what
'The great Torii is the boundary between the spirit and the human worlds.',what
'Manage Bookings is a suite of features, which allows you to retrieve & re-print your bookings and update special requests in your booking record.',what
'It is an online science competition, open to students between the ages of 13 and 18 from around the world.',what
'NAT question is a Numerical Answer Questions',what
'The Inspiring Educator Award honors the contributions of one outstanding educator who goes above and beyond to encourage their students to achieve great things.',what
'plus-minus sign mean a value that can be of either sign.',what
'ISRO Stands for Indian Space Research Organisation',what
'PhonePe wallet is RBI approved semi-closed payment instrument',what
'hansam is the Sanskrit word for swan',what
'otter den is called holt',what
'MRT is Mass Rapid Transit system',what
'There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.',what
'Swiss franc the national currency of Liechtenstein',what
'German is the official language of Liechtenstein',what
'the Emperor Penguin is the largest living species of penguin',what
'Tobogganing is when penguins slide on their bellies across the snow.',what
'Registration Fee includes conference material, Tea breaks and Lunch during the conference.',what
'Registration Fee does not include accommodation charges.',what
'The menu will be Montreal Sirloin Tips, Baked Stuffed Chicken, Baked Haddock, or a Vegetarian Pasta.',what
'The dimensions of the photograph should be 3.5 x 4.5cm width.',what
'A polar bear skin is black in color',what
'Daisho-in Temple is one of the most prestigious Shingon Temple in the western part of Japan.',what
'The section has emphasis on quality programmes and such programmes are regular feature for professional development of its members.',what
'It is intended to help disseminate various technologies developed by farmers, forest based industries and forest research institutes.',what
'the boiling point of water is dependent on atmospheric pressure',what
'Secret chats are meant for people who want more secrecy than the average fella.',what
'With Viber you can send messages of all types and make phone calls to other Viber users for free',what
'MeraEvents is a one-stop platform dedicated to ticketing of events & trade fair industry.',what
'MeraEvents allows an organizer to include all the information about an event in an easy listing.',what
'A seedling is a young plant sporophyte developing out of a plant embryo from a seed.',what
'ORCID is an acronym, short for Open Researcher and Contributor ID.',what
'“Specialty ingredients” means the product contains no artificial colors or flavors, and is free of preservatives—this is indicated on the ingredients label.',what
'With Viber Out you can call from Viber on your phone to any landline and mobile in the world - even if they don not have Viber -  at low rates.',what
'Telegram is a messaging app with a focus on speed and security, it is super-fast, simple and free.',what
'The prime objective of ISRO is to develop space technology and its application to various national needs.',what
'The MPN is a promissory note that can be used to make one or more loans for one or more academic years (up to 10 years).',what
'Entrance counseling explains the obligations you agree to meet as a condition of receiving a Direct Loan.',what
'Not all assignments can be resubmitted.',what
'Calcium metal is used as a deoxidizer, desulfurizer, and decarbonizer for production of some ferrous and nonferrous alloys.',what
'Calcium is a chemical element with symbol Ca and atomic number 20.',what
'Calcium plays an important role in building stronger, denser bones early in life and keeping bones strong and healthy later in life.',what
'There is no age limit to apply for Teach For India Fellowship.',what
'Copyright is one of a group of intellectual property rights (or laws) that are intended to protect the interests of an author or copyright owner.',what
'A trademark is a name, title, or graphic design intended to identify an entity or product.',what
'Copyright rights protect the particular expression of an idea, not the idea itself.',what
'Trademark and service mark refer to rights meant to protect a name, title, or logo or other identifier of an entity, a service, or a product.',what
'With a census-estimated 2014 population of 2.239 million people',what
'Amity University has been ranked the no. 1 not-for-profit pvt. University',what
'Houston known for railroad center of Texas by 1890',what
'The study of word origins is called etymology.',what
'Laughter is a proven way to lose weight.',what
'The ZIP in Zip-code stands for Zoning Improvement Plan.',what
'That metal thing shoe salesmen use to measure your feet is called the Brannock device.',what
'A baseball weighs between 5 and 5.25 ounces.',what
'All fats, fatty acids, amino acids, and proteins contain oxygen',what
'Its capital and largest city is Jaipur, also known as Pink City',what
'MUN is an academic simulation of the United Nations that aims to educate participants about civics, current events, effective communication, globalization and multilateral diplomacy.',what
'Scanned Class X mark sheet should be in jpg, gif, png, jpeg, bmp, pdf format for online submission.',what
'Scanned photograph should be in jpg, gif, png, jpeg, bmp format for online submission.',what
'Students who have completed 10+2 in regular mode only, are eligible to apply for all B Tech / B Tech + MBA /B Tech +M Tech / B Pharm programs',what
'The Amity University logo is represented in a shield divided into dark blue and golden yellow sections by an upward sweeping line that depicts growth and progress in life, achievable through education.',what
'UberEATS gets you the food you want from the restaurants you love, faster than anyone else.',what
'This year theme for the conference is Accelerating Development: Harnessing the power of Project Management',what
'HackerRank is a place where programmers from all over the world come together to solve problems in a wide range of Computer Science domains such as algorithms, machine learning, or artificial intelligence, as well as to practice different programming paradigms like functional programming.',what
'Accredited Institutes (AIs) or study centres are those institutes/schools which are authorised by NIOS to provide Support Services.',what
'Although it accounts for only 1.5 percent of the state economy',what
'California is the 3rd largest state in the United States in area, after Alaska and Texas.',what
'In the middle of the state lies the California Central Valley,',what
'Idealistic lawyers and idealistic scientists often describe themselves as engaging in a search for truth.',what
'Science is the methodical study of nature including testable explanations and predictions.',what
